"saat","tarix1","hefte","kwh"
"8PM",2014-04-11,"пятница","0.514kwh"
"3PM",2014-02-27,"четверг","0.432kwh"
"3PM",2014-05-25,"воскресенье","0.684kwh"
"4PM",2014-05-24,"суббота","0.799kwh"
"7PM",2014-11-22,"суббота","0.948kwh"
"4PM",2014-12-07,"воскресенье","1.099kwh"
"8AM",2014-09-17,"среда","0.322kwh"
"2AM",2014-09-30,"вторник","40.16kwh"
"4PM",2014-12-22,"понедельник","0.449kwh"
"6PM",2014-02-09,"воскресенье","2.138kwh"
"7AM",2014-09-14,"воскресенье","0.764kwh"
"2PM",2014-02-27,"четверг","0.427kwh"
"12PM",2014-06-16,"понедельник","1.026kwh"
"9AM",2014-07-29,"вторник","0.727kwh"
"3PM",2014-07-28,"понедельник","0.787kwh"
"5PM",2014-10-25,"суббота","0.529kwh"
"4AM",2014-09-28,"воскресенье","0.246kwh"
"6AM",2014-03-21,"пятница","40.97kwh"
"11PM",2014-02-25,"вторник","0.528kwh"
"5PM",2014-06-24,"вторник","1.872kwh"
"11PM",2014-06-10,"вторник","1.008kwh"
"2AM",2014-07-12,"суббота","0.706kwh"
"9PM",2014-01-20,"понедельник","1.104kwh"
"6PM",2014-04-03,"четверг","40.37kwh"
"11PM",2014-05-15,"четверг","0.384kwh"
"8AM",2014-03-06,"четверг","0.285kwh"
"2AM",2014-05-23,"пятница","0.168kwh"
"12PM",2014-06-14,"суббота","0.896kwh"
"5PM",2014-11-18,"вторник","0.474kwh"
"9PM",2014-01-04,"суббота","40.84kwh"
"5AM",2014-12-24,"среда","1.307kwh"
"3PM",2014-01-30,"четверг","0.696kwh"
"9AM",2014-09-03,"среда","0.193kwh"
"9AM",2014-08-20,"среда","0.389kwh"
"3AM",2014-08-18,"понедельник","0.266kwh"
"2PM",2014-11-25,"вторник","0.214kwh"
"3PM",2014-05-31,"суббота","0.605kwh"
"10PM",2014-01-25,"суббота","0.912kwh"
"10PM",2014-10-29,"среда","0.309kwh"
"12AM",2014-09-17,"среда","0.225kwh"
"5AM",2014-02-18,"вторник","1.333kwh"
"11AM",2014-03-16,"воскресенье","0.504kwh"
"3AM",2014-01-26,"воскресенье","0.576kwh"
"2PM",2014-10-15,"среда","0.245kwh"
"8PM",2014-09-26,"пятница","1.277kwh"
"2AM",2014-05-21,"среда","0.136kwh"
"1PM",2014-02-12,"среда","0.533kwh"
"5PM",2014-09-30,"вторник","0.728kwh"
"6AM",2014-09-28,"воскресенье","0.599kwh"
"6AM",2014-02-13,"четверг","1.598kwh"
"5PM",2014-04-02,"среда","0.378kwh"
"9PM",2014-01-11,"суббота","0.864kwh"
"2AM",2014-12-12,"пятница","0.231kwh"
"11PM",2014-12-22,"понедельник","0.512kwh"
"11AM",2014-03-26,"среда","0.344kwh"
"11PM",2014-02-06,"четверг","40.66kwh"
"6PM",2014-06-16,"понедельник","2.167kwh"
"11PM",2014-01-24,"пятница","42.00kwh"
"6PM",2014-09-25,"четверг","0.833kwh"
"12PM",2014-09-18,"четверг","0.326kwh"
"6PM",2014-05-16,"пятница","1.064kwh"
"5AM",2014-08-22,"пятница","1.254kwh"
"2PM",2014-06-25,"среда","0.641kwh"
"9PM",2014-05-14,"среда","40.49kwh"
"1PM",2014-06-18,"среда","0.835kwh"
"10PM",2014-06-26,"четверг","0.756kwh"
"8PM",2014-09-12,"пятница","1.008kwh"
"3AM",2014-09-16,"вторник","0.165kwh"
"5PM",2014-06-22,"воскресенье","1.361kwh"
"4PM",2014-01-13,"понедельник","0.656kwh"
"3PM",2014-09-05,"пятница","40.28kwh"
"9AM",2014-06-24,"вторник","0.475kwh"
"9PM",2014-04-22,"вторник","0.173kwh"
"12AM",2014-11-30,"воскресенье","0.382kwh"
"6AM",2014-04-30,"среда","0.374kwh"
"12AM",2014-03-24,"понедельник","40.23kwh"
"5AM",2014-11-24,"понедельник","0.579kwh"
"5AM",2014-12-19,"пятница","1.283kwh"
"12AM",2014-07-16,"среда","0.806kwh"
"6PM",2014-04-15,"вторник","0.365kwh"
"4PM",2014-01-27,"понедельник","0.816kwh"
"12PM",2014-08-26,"вторник","40.51kwh"
"9PM",2014-10-14,"вторник","0.295kwh"
"9PM",2014-04-14,"понедельник","0.169kwh"
"12AM",2014-09-24,"среда","0.187kwh"
"11PM",2014-01-26,"воскресенье","40.96kwh"
"11PM",2014-11-03,"понедельник","0.205kwh"
"3AM",2014-12-22,"понедельник","0.187kwh"
"6PM",2014-09-10,"среда","1.117kwh"
"4AM",2014-04-25,"пятница","0.066kwh"
"2AM",2014-08-04,"понедельник","0.286kwh"
"12AM",2014-10-03,"пятница","40.18kwh"
"1PM",2014-12-26,"пятница","0.383kwh"
"5AM",2014-04-28,"понедельник","0.356kwh"
"10AM",2014-09-01,"понедельник","0.322kwh"
"7AM",2014-08-28,"четверг","1.069kwh"
"1AM",2014-01-16,"четверг","0.344kwh"
"5PM",2014-05-08,"четверг","1.102kwh"
"8AM",2014-10-20,"понедельник","0.269kwh"
"9AM",2014-06-22,"воскресенье","1.669kwh"
"4AM",2014-05-08,"четверг","0.142kwh"
"12AM",2014-05-27,"вторник","0.269kwh"
"5PM",2014-04-14,"понедельник","0.355kwh"
"6PM",2014-12-15,"понедельник","1.586kwh"
"12PM",2014-05-26,"понедельник","0.332kwh"
"8PM",2014-12-20,"суббота","2.039kwh"
"2AM",2014-06-12,"четверг","0.374kwh"
"7PM",2014-09-14,"воскресенье","1.008kwh"
"6AM",2014-02-26,"среда","1.613kwh"
"6AM",2014-05-14,"среда","1.123kwh"
"3AM",2014-09-30,"вторник","0.162kwh"
"12PM",2014-02-14,"пятница","0.654kwh"
"5PM",2014-02-24,"понедельник","1.763kwh"
"6AM",2014-10-18,"суббота","0.504kwh"
"12PM",2014-04-23,"среда","0.138kwh"
"8AM",2014-09-30,"вторник","0.266kwh"
"6AM",2014-11-21,"пятница","0.589kwh"
"11PM",2014-03-23,"воскресенье","0.408kwh"
"10AM",2014-11-16,"воскресенье","0.265kwh"
"2PM",2014-05-23,"пятница","0.355kwh"
"12AM",2014-05-13,"вторник","0.214kwh"
"5AM",2014-07-13,"воскресенье","0.598kwh"
"3PM",2014-08-13,"среда","0.576kwh"
"8AM",2014-08-20,"среда","0.528kwh"
"3PM",2014-04-27,"воскресенье","0.278kwh"
"12AM",2014-09-13,"суббота","40.51kwh"
"6AM",2014-08-11,"понедельник","1.685kwh"
"11PM",2014-08-10,"воскресенье","40.48kwh"
"8AM",2014-01-21,"вторник","0.848kwh"
"6PM",2014-12-24,"среда","1.663kwh"
"5AM",2014-06-17,"вторник","1.742kwh"
"10PM",2014-09-12,"пятница","0.524kwh"
"1PM",2014-09-24,"среда","0.297kwh"
"10PM",2014-07-21,"понедельник","1.332kwh"
"9AM",2014-03-23,"воскресенье","0.626kwh"
"6AM",2014-11-26,"среда","0.432kwh"
"11AM",2014-08-25,"понедельник","0.492kwh"
"12PM",2014-03-24,"понедельник","40.42kwh"
"12PM",2014-05-19,"понедельник","0.416kwh"
"7AM",2014-11-28,"пятница","40.47kwh"
"6PM",2014-12-12,"пятница","1.371kwh"
"10PM",2014-12-17,"среда","40.66kwh"
"2PM",2014-11-24,"понедельник","0.175kwh"
"9AM",2014-12-17,"среда","0.327kwh"
"6PM",2014-01-26,"воскресенье","3.204kwh"
"12PM",2014-12-07,"воскресенье","0.766kwh"
"7AM",2014-11-17,"понедельник","0.413kwh"
"3PM",2014-04-30,"среда","0.127kwh"
"8AM",2014-04-02,"среда","40.10kwh"
"10PM",2014-08-17,"воскресенье","40.54kwh"
"2PM",2014-07-07,"понедельник","0.912kwh"
"6AM",2014-09-20,"суббота","40.51kwh"
"5PM",2014-09-16,"вторник","0.937kwh"
"5AM",2014-05-29,"четверг","0.871kwh"
"8PM",2014-04-15,"вторник","0.518kwh"
"7AM",2014-06-18,"среда","1.539kwh"
"4PM",2014-09-11,"четверг","0.235kwh"
"9PM",2014-07-21,"понедельник","1.368kwh"
"4AM",2014-07-21,"понедельник","0.499kwh"
"6AM",2014-10-23,"четверг","0.835kwh"
"12AM",2014-07-24,"четверг","0.778kwh"
"2PM",2014-08-19,"вторник","0.499kwh"
"6PM",2014-05-23,"пятница","1.154kwh"
"5PM",2014-10-22,"среда","0.749kwh"
"8PM",2014-07-30,"среда","3.418kwh"
"5AM",2014-12-03,"среда","1.077kwh"
"9PM",2014-10-29,"среда","40.40kwh"
"5AM",2014-10-04,"суббота","0.194kwh"
"12AM",2014-09-05,"пятница","0.195kwh"
"1AM",2014-05-20,"вторник","0.139kwh"
"3PM",2014-09-15,"понедельник","0.269kwh"
"12AM",2014-03-23,"воскресенье","0.614kwh"
"2AM",2014-01-15,"среда","0.404kwh"
"4AM",2014-08-28,"четверг","0.269kwh"
"11AM",2014-11-13,"четверг","0.214kwh"
"2PM",2014-12-20,"суббота","40.95kwh"
"3PM",2014-06-23,"понедельник","0.612kwh"
"12PM",2014-12-31,"среда","0.528kwh"
"4AM",2014-10-21,"вторник","0.104kwh"
"1AM",2014-12-05,"пятница","0.257kwh"
"12AM",2014-08-20,"среда","0.378kwh"
"7PM",2014-07-19,"суббота","3.931kwh"
"6AM",2014-06-03,"вторник","2.074kwh"
"4AM",2014-10-28,"вторник","40.12kwh"
"7PM",2014-10-10,"пятница","1.102kwh"
"10PM",2014-04-27,"воскресенье","0.147kwh"
"11PM",2014-08-19,"вторник","0.564kwh"
"6AM",2014-06-26,"четверг","2.527kwh"
"4PM",2014-01-28,"вторник","0.872kwh"
"3PM",2014-05-13,"вторник","0.374kwh"
"1PM",2014-03-30,"воскресенье","0.466kwh"
"7PM",2014-04-27,"воскресенье","0.572kwh"
"9AM",2014-05-01,"четверг","0.226kwh"
"6PM",2014-01-28,"вторник","3.024kwh"
"10PM",2014-07-13,"воскресенье","0.996kwh"
"8AM",2014-07-23,"среда","0.931kwh"
"3PM",2014-02-17,"понедельник","0.552kwh"
"3AM",2014-11-17,"понедельник","0.084kwh"
"7PM",2014-07-21,"понедельник","4.709kwh"
"12PM",2014-03-19,"среда","0.416kwh"
"11AM",2014-11-12,"среда","40.18kwh"
"7PM",2014-06-21,"суббота","3.175kwh"
"7PM",2014-06-27,"пятница","3.564kwh"
"1AM",2014-03-16,"воскресенье","0.254kwh"
"9PM",2014-07-27,"воскресенье","1.656kwh"
"11AM",2014-08-16,"суббота","0.713kwh"
"7AM",2014-06-30,"понедельник","1.345kwh"
"12AM",2014-05-10,"суббота","0.749kwh"
"12AM",2014-10-15,"среда","0.182kwh"
"3PM",2014-10-24,"пятница","0.254kwh"
"11AM",2014-04-24,"четверг","40.14kwh"
"1AM",2014-08-17,"воскресенье","0.288kwh"
"2AM",2014-11-22,"суббота","40.14kwh"
"8AM",2014-04-29,"вторник","0.103kwh"
"1AM",2014-04-17,"четверг","0.062kwh"
"5AM",2014-05-17,"суббота","0.281kwh"
"3PM",2014-02-15,"суббота","1.069kwh"
"5AM",2014-05-19,"понедельник","0.889kwh"
"4AM",2014-07-28,"понедельник","0.403kwh"
"10PM",2014-11-26,"среда","0.198kwh"
"10AM",2014-08-19,"вторник","0.394kwh"
"12PM",2014-12-12,"пятница","0.611kwh"
"6PM",2014-08-12,"вторник","1.814kwh"
"3PM",2014-01-12,"воскресенье","1.674kwh"
"8AM",2014-08-11,"понедельник","0.413kwh"
"9AM",2014-05-10,"суббота","0.734kwh"
"6PM",2014-06-25,"среда","2.444kwh"
"2AM",2014-01-29,"среда","0.468kwh"
"7PM",2014-10-27,"понедельник","1.102kwh"
"9AM",2014-09-29,"понедельник","0.191kwh"
"7PM",2014-06-19,"четверг","3.078kwh"
"3AM",2014-06-13,"пятница","40.31kwh"
"7AM",2014-11-06,"четверг","0.356kwh"
"12PM",2014-01-14,"вторник","41.08kwh"
"4PM",2014-10-15,"среда","0.216kwh"
"3PM",2014-07-25,"пятница","1.133kwh"
"6PM",2014-11-20,"четверг","0.737kwh"
"5AM",2014-06-16,"понедельник","42.00kwh"
"9PM",2014-06-26,"четверг","1.123kwh"
"8PM",2014-06-20,"пятница","43.37kwh"
"4AM",2014-04-02,"среда","0.052kwh"
"8PM",2014-01-23,"четверг","3.296kwh"
"2AM",2014-11-18,"вторник","0.075kwh"
"10AM",2014-01-02,"четверг","0.848kwh"
"7AM",2014-08-24,"воскресенье","1.512kwh"
"6AM",2014-06-13,"пятница","1.771kwh"
"3AM",2014-02-25,"вторник","0.197kwh"
"9AM",2014-01-14,"вторник","0.588kwh"
"10PM",2014-07-28,"понедельник","1.212kwh"
"7PM",2014-04-08,"вторник","40.54kwh"
"5PM",2014-07-13,"воскресенье","1.901kwh"
"5AM",2014-02-19,"среда","1.505kwh"
"7AM",2014-05-16,"пятница","0.691kwh"
"7PM",2014-11-30,"воскресенье","0.802kwh"
"9PM",2014-05-10,"суббота","0.342kwh"
"12PM",2014-07-12,"суббота","1.339kwh"
"12PM",2014-07-20,"воскресенье","1.397kwh"
"12PM",2014-05-23,"пятница","40.34kwh"
"9AM",2014-12-03,"среда","0.297kwh"
"2AM",2014-06-01,"воскресенье","0.502kwh"
"12AM",2014-04-24,"четверг","0.095kwh"
"1PM",2014-07-19,"суббота","1.512kwh"
"3AM",2014-11-02,"воскресенье","0.116kwh"
"9AM",2014-07-28,"понедельник","0.828kwh"
"4PM",2014-08-11,"понедельник","0.422kwh"
"3AM",2014-06-20,"пятница","40.40kwh"
"10PM",2014-08-12,"вторник","0.708kwh"
"6AM",2014-01-23,"четверг","2.832kwh"
"11AM",2014-03-15,"суббота","0.432kwh"
"1PM",2014-06-21,"суббота","1.037kwh"
"10PM",2014-04-11,"пятница","0.235kwh"
"10PM",2014-06-22,"воскресенье","1.062kwh"
"11PM",2014-10-15,"среда","0.327kwh"
"6PM",2014-06-12,"четверг","2.797kwh"
"11PM",2014-10-20,"понедельник","0.339kwh"
"10AM",2014-03-23,"воскресенье","40.48kwh"
"7AM",2014-09-08,"понедельник","0.561kwh"
"1AM",2014-08-13,"среда","0.218kwh"
"3PM",2014-09-26,"пятница","0.227kwh"
"12AM",2014-10-13,"понедельник","0.167kwh"
"10PM",2014-08-16,"суббота","0.514kwh"
"5PM",2014-05-29,"четверг","1.196kwh"
"11PM",2014-03-20,"четверг","0.324kwh"
"10AM",2014-06-26,"четверг","0.792kwh"
"10AM",2014-08-11,"понедельник","0.552kwh"
"9AM",2014-02-22,"суббота","1.004kwh"
"3AM",2014-01-20,"понедельник","0.476kwh"
"9AM",2014-04-27,"воскресенье","0.235kwh"
"8PM",2014-09-30,"вторник","0.963kwh"
"11AM",2014-05-23,"пятница","40.32kwh"
"8AM",2014-06-16,"понедельник","0.583kwh"
"6PM",2014-07-17,"четверг","3.696kwh"
"11AM",2014-04-19,"суббота","0.191kwh"
"1PM",2014-12-14,"воскресенье","0.785kwh"
"6AM",2014-07-19,"суббота","2.189kwh"
"1AM",2014-11-10,"понедельник","0.077kwh"
"10PM",2014-04-19,"суббота","0.138kwh"
"1AM",2014-06-16,"понедельник","0.396kwh"
"1AM",2014-04-10,"четверг","0.064kwh"
"12PM",2014-12-27,"суббота","0.706kwh"
"2PM",2014-02-20,"четверг","0.533kwh"
"3AM",2014-03-14,"пятница","0.181kwh"
"8PM",2014-08-20,"среда","2.054kwh"
"5PM",2014-06-18,"среда","2.036kwh"
"11AM",2014-06-18,"среда","40.99kwh"
"5PM",2014-06-28,"суббота","1.912kwh"
"6AM",2014-07-18,"пятница","2.592kwh"
"3PM",2014-09-24,"среда","0.297kwh"
"12PM",2014-03-15,"суббота","0.437kwh"
"12PM",2014-12-21,"воскресенье","0.561kwh"
"7PM",2014-05-14,"среда","1.296kwh"
"6AM",2014-09-12,"пятница","0.731kwh"
"7AM",2014-09-16,"вторник","0.554kwh"
"12AM",2014-06-30,"понедельник","0.497kwh"
"12AM",2014-09-28,"воскресенье","0.577kwh"
"9AM",2014-08-02,"суббота","1.134kwh"
"6PM",2014-01-10,"пятница","43.08kwh"
"1AM",2014-02-05,"среда","40.25kwh"
"5PM",2014-12-16,"вторник","1.616kwh"
"2PM",2014-04-16,"среда","0.096kwh"
"2AM",2014-08-10,"воскресенье","0.378kwh"
"7PM",2014-04-11,"пятница","0.432kwh"
"6AM",2014-05-11,"воскресенье","0.749kwh"
"2AM",2014-12-19,"пятница","40.24kwh"
"8AM",2014-02-10,"понедельник","0.523kwh"
"2PM",2014-08-24,"воскресенье","0.979kwh"
"6AM",2014-12-12,"пятница","1.135kwh"
"5AM",2014-09-23,"вторник","0.678kwh"
"4PM",2014-12-24,"среда","0.405kwh"
"3AM",2014-03-15,"суббота","0.202kwh"
"11AM",2014-03-10,"понедельник","0.412kwh"
"4AM",2014-11-17,"понедельник","0.091kwh"
"1PM",2014-06-20,"пятница","40.72kwh"
"8AM",2014-04-14,"понедельник","0.103kwh"
"10PM",2014-07-11,"пятница","1.361kwh"
"4PM",2014-02-21,"пятница","0.538kwh"
"12PM",2014-06-21,"суббота","0.864kwh"
"6PM",2014-06-18,"среда","2.696kwh"
"10AM",2014-12-11,"четверг","0.475kwh"
"9PM",2014-12-20,"суббота","0.387kwh"
"4AM",2014-12-03,"среда","0.222kwh"
"11AM",2014-11-17,"понедельник","0.209kwh"
"12PM",2014-11-04,"вторник","0.239kwh"
"12PM",2014-10-03,"пятница","0.336kwh"
"8PM",2014-10-04,"суббота","1.048kwh"
"1AM",2014-10-18,"суббота","0.198kwh"
"12AM",2014-06-29,"воскресенье","1.642kwh"
"8AM",2014-04-01,"вторник","40.12kwh"
"1PM",2014-05-29,"четверг","0.346kwh"
"9AM",2014-12-13,"суббота","41.01kwh"
"1AM",2014-12-02,"вторник","0.209kwh"
"7PM",2014-01-31,"пятница","3.708kwh"
"9PM",2014-05-13,"вторник","0.451kwh"
"6AM",2014-07-11,"пятница","2.851kwh"
"11PM",2014-05-10,"суббота","0.808kwh"
"3PM",2014-08-27,"среда","0.408kwh"
"1PM",2014-03-20,"четверг","0.317kwh"
"6AM",2014-05-15,"четверг","1.008kwh"
"10PM",2014-03-17,"понедельник","0.452kwh"
"7AM",2014-12-03,"среда","0.881kwh"
"8AM",2014-05-19,"понедельник","0.349kwh"
"11AM",2014-07-14,"понедельник","1.128kwh"
"1AM",2014-12-14,"воскресенье","0.281kwh"
"2PM",2014-08-25,"понедельник","0.504kwh"
"11AM",2014-05-29,"четверг","0.368kwh"
"10AM",2014-12-04,"четверг","0.409kwh"
"4AM",2014-12-20,"суббота","40.33kwh"
"1AM",2014-01-18,"суббота","0.708kwh"
"3AM",2014-11-15,"суббота","0.162kwh"
"6PM",2014-04-27,"воскресенье","0.589kwh"
"11AM",2014-08-27,"среда","0.582kwh"
"6AM",2014-02-12,"среда","1.368kwh"
"7AM",2014-03-24,"понедельник","0.857kwh"
"1PM",2014-12-16,"вторник","0.414kwh"
"5PM",2014-08-09,"суббота","0.864kwh"
"3PM",2014-05-19,"понедельник","0.269kwh"
"6AM",2014-12-29,"понедельник","41.32kwh"
"3AM",2014-08-16,"суббота","0.342kwh"
"8AM",2014-01-15,"среда","0.912kwh"
"5PM",2014-01-15,"среда","42.47kwh"
"4AM",2014-09-18,"четверг","0.133kwh"
"12PM",2014-03-07,"пятница","0.384kwh"
"11AM",2014-12-06,"суббота","0.772kwh"
"5PM",2014-01-20,"понедельник","2.548kwh"
"6AM",2014-12-28,"воскресенье","1.056kwh"
"11AM",2014-03-12,"среда","0.456kwh"
"6AM",2014-07-16,"среда","3.139kwh"
"6AM",2014-03-10,"понедельник","0.998kwh"
"2PM",2014-07-11,"пятница","0.883kwh"
"7PM",2014-07-26,"суббота","5.141kwh"
"9AM",2014-12-11,"четверг","0.327kwh"
"5AM",2014-12-27,"суббота","0.287kwh"
"8AM",2014-12-22,"понедельник","0.475kwh"
"8PM",2014-05-22,"четверг","1.037kwh"
"10AM",2014-09-10,"среда","0.297kwh"
"9PM",2014-03-17,"понедельник","0.523kwh"
"7PM",2014-12-26,"пятница","42.02kwh"
"2AM",2014-04-11,"пятница","0.061kwh"
"12PM",2014-07-13,"воскресенье","41.44kwh"
"2AM",2014-12-07,"воскресенье","40.34kwh"
"2AM",2014-04-05,"суббота","0.106kwh"
"4AM",2014-05-26,"понедельник","0.168kwh"
"10AM",2014-01-08,"среда","0.648kwh"
"6PM",2014-03-31,"понедельник","1.344kwh"
"2AM",2014-07-20,"воскресенье","0.742kwh"
"12PM",2014-05-16,"пятница","40.44kwh"
"4AM",2014-05-17,"суббота","0.233kwh"
"8AM",2014-03-21,"пятница","40.31kwh"
"11AM",2014-01-16,"четверг","41.04kwh"
"3PM",2014-09-22,"понедельник","40.28kwh"
"11PM",2014-11-14,"пятница","0.423kwh"
"8AM",2014-03-10,"понедельник","0.368kwh"
"1PM",2014-03-31,"понедельник","0.314kwh"
"12PM",2014-02-15,"суббота","0.576kwh"
"8PM",2014-11-29,"суббота","40.68kwh"
"7AM",2014-07-16,"среда","2.009kwh"
"8PM",2014-07-29,"вторник","3.955kwh"
"12AM",2014-06-16,"понедельник","0.556kwh"
"8AM",2014-05-23,"пятница","0.374kwh"
"4PM",2014-06-26,"четверг","0.576kwh"
"7AM",2014-08-10,"воскресенье","1.642kwh"
"10AM",2014-03-13,"четверг","0.266kwh"
"4AM",2014-08-16,"суббота","0.428kwh"
"8AM",2014-05-15,"четверг","0.378kwh"
"4AM",2014-11-21,"пятница","0.104kwh"
"5PM",2014-07-18,"пятница","3.307kwh"
"2AM",2014-08-27,"среда","0.216kwh"
"1AM",2014-05-19,"понедельник","0.179kwh"
"9AM",2014-08-16,"суббота","1.004kwh"
"11AM",2014-03-30,"воскресенье","0.523kwh"
"8AM",2014-05-10,"суббота","0.884kwh"
"6PM",2014-01-17,"пятница","3.052kwh"
"1PM",2014-06-15,"воскресенье","1.199kwh"
"2AM",2014-04-22,"вторник","0.071kwh"
"2AM",2014-12-06,"суббота","0.317kwh"
"2PM",2014-09-13,"суббота","0.498kwh"
"2PM",2014-08-12,"вторник","0.437kwh"
"5AM",2014-09-04,"четверг","0.662kwh"
"2AM",2014-12-16,"вторник","0.194kwh"
"12AM",2014-10-02,"четверг","0.191kwh"
"5PM",2014-01-05,"воскресенье","2.052kwh"
"5PM",2014-04-28,"понедельник","0.464kwh"
"7AM",2014-12-30,"вторник","0.851kwh"
"1AM",2014-06-12,"четверг","0.356kwh"
"3AM",2014-01-16,"четверг","40.36kwh"
"4PM",2014-05-10,"суббота","0.691kwh"
"11AM",2014-03-28,"пятница","0.388kwh"
"5PM",2014-07-30,"среда","3.401kwh"
"5AM",2014-05-09,"пятница","0.977kwh"
"8PM",2014-04-16,"среда","0.446kwh"
"6PM",2014-08-03,"воскресенье","2.138kwh"
"3AM",2014-04-30,"среда","0.062kwh"
"3PM",2014-08-21,"четверг","0.403kwh"
"5AM",2014-01-01,"среда","2.354kwh"
"12PM",2014-10-31,"пятница","0.354kwh"
"1AM",2014-09-12,"пятница","0.141kwh"
"4AM",2014-08-09,"суббота","0.389kwh"
"5PM",2014-01-24,"пятница","2.288kwh"
"11AM",2014-11-18,"вторник","40.25kwh"
"10PM",2014-01-29,"среда","40.97kwh"
"12PM",2014-01-27,"понедельник","41.02kwh"
"7PM",2014-03-24,"понедельник","1.498kwh"
"9AM",2014-07-23,"среда","0.727kwh"
"7AM",2014-12-04,"четверг","1.099kwh"
"8PM",2014-11-21,"пятница","40.59kwh"
"6PM",2014-09-07,"воскресенье","1.386kwh"
"3AM",2014-12-28,"воскресенье","0.373kwh"
"10PM",2014-11-22,"суббота","0.198kwh"
"9AM",2014-10-13,"понедельник","0.144kwh"
"11AM",2014-03-07,"пятница","0.376kwh"
"11PM",2014-11-21,"пятница","0.477kwh"
"8AM",2014-06-12,"четверг","0.742kwh"
"5PM",2014-01-11,"суббота","1.854kwh"
"2AM",2014-01-26,"воскресенье","0.672kwh"
"6PM",2014-03-30,"воскресенье","1.397kwh"
"1AM",2014-06-11,"среда","0.317kwh"
"4AM",2014-03-31,"понедельник","0.138kwh"
"1AM",2014-05-10,"суббота","0.233kwh"
"11AM",2014-05-17,"суббота","0.571kwh"
"6PM",2014-07-14,"понедельник","3.192kwh"
"10PM",2014-06-10,"вторник","0.981kwh"
"12AM",2014-03-29,"суббота","0.646kwh"
"8AM",2014-04-11,"пятница","0.132kwh"
"1PM",2014-09-27,"суббота","40.42kwh"
"2AM",2014-09-29,"понедельник","0.168kwh"
"8PM",2014-01-15,"среда","3.136kwh"
"4AM",2014-04-26,"суббота","0.087kwh"
"2AM",2014-08-22,"пятница","0.238kwh"
"10PM",2014-12-31,"среда","0.633kwh"
"10AM",2014-04-20,"воскресенье","0.185kwh"
"9AM",2014-07-26,"суббота","2.354kwh"
"9AM",2014-02-16,"воскресенье","0.972kwh"
"8PM",2014-02-17,"понедельник","42.15kwh"
"5PM",2014-11-25,"вторник","0.515kwh"
"9AM",2014-09-23,"вторник","0.216kwh"
"4PM",2014-06-28,"суббота","1.636kwh"
"8AM",2014-02-16,"воскресенье","1.685kwh"
"11PM",2014-04-29,"вторник","0.164kwh"
"2AM",2014-09-21,"воскресенье","40.25kwh"
"5PM",2014-12-20,"суббота","1.099kwh"
"9PM",2014-11-04,"вторник","0.286kwh"
"6AM",2014-05-26,"понедельник","0.826kwh"
"2AM",2014-11-26,"среда","0.087kwh"
"5PM",2014-09-29,"понедельник","0.774kwh"
"2PM",2014-08-14,"четверг","0.542kwh"
"5AM",2014-04-29,"вторник","0.353kwh"
"9AM",2014-04-19,"суббота","0.243kwh"
"7AM",2014-04-10,"четверг","0.251kwh"
"12PM",2014-09-11,"четверг","0.326kwh"
"5PM",2014-02-27,"четверг","1.326kwh"
"1AM",2014-12-10,"среда","0.178kwh"
"5PM",2014-07-07,"понедельник","3.432kwh"
"10PM",2014-01-11,"суббота","0.944kwh"
"1PM",2014-02-16,"воскресенье","0.857kwh"
"4AM",2014-12-30,"вторник","0.264kwh"
"8PM",2014-10-20,"понедельник","0.941kwh"
"1AM",2014-05-02,"пятница","0.131kwh"
"6AM",2014-07-20,"воскресенье","2.246kwh"
"10PM",2014-10-05,"воскресенье","0.354kwh"
"7AM",2014-12-17,"среда","41.01kwh"
"2AM",2014-08-19,"вторник","40.25kwh"
"4AM",2014-02-20,"четверг","0.257kwh"
"10AM",2014-08-17,"воскресенье","0.583kwh"
"11AM",2014-07-19,"суббота","1.541kwh"
"1PM",2014-10-21,"вторник","0.199kwh"
"11AM",2014-04-21,"понедельник","0.167kwh"
"7AM",2014-11-30,"воскресенье","0.578kwh"
"10AM",2014-01-28,"вторник","40.96kwh"
"11PM",2014-01-23,"четверг","40.87kwh"
"4AM",2014-11-19,"среда","0.104kwh"
"1PM",2014-09-18,"четверг","0.288kwh"
"3AM",2014-11-27,"четверг","0.089kwh"
"1AM",2014-02-11,"вторник","0.271kwh"
"2PM",2014-12-04,"четверг","0.409kwh"
"10PM",2014-04-06,"воскресенье","0.176kwh"
"6AM",2014-07-26,"суббота","1.786kwh"
"7AM",2014-11-11,"вторник","0.437kwh"
"9PM",2014-10-30,"четверг","0.428kwh"
"11AM",2014-04-05,"суббота","0.198kwh"
"12PM",2014-01-26,"воскресенье","1.404kwh"
"12AM",2014-10-31,"пятница","0.169kwh"
"11PM",2014-03-11,"вторник","0.412kwh"
"6AM",2014-08-25,"понедельник","1.555kwh"
"1AM",2014-03-10,"понедельник","0.131kwh"
"8AM",2014-04-22,"вторник","40.13kwh"
"4AM",2014-12-05,"пятница","0.233kwh"
"12PM",2014-12-18,"четверг","0.495kwh"
"10PM",2014-09-15,"понедельник","0.301kwh"
"8PM",2014-01-19,"воскресенье","3.384kwh"
"3AM",2014-11-08,"суббота","0.136kwh"
"2PM",2014-02-22,"суббота","0.931kwh"
"9PM",2014-11-30,"воскресенье","0.281kwh"
